first_seen,last_seen,ip_address,category,attacks_count
2018-07-19 19:43:38,2018-07-19 19:43:38,66.249.64.156,Web Hacking,1
2018-07-19 07:34:09,2018-07-19 07:34:09,37.47.131.196,Web Hacking,1
2018-07-20 01:45:46,2018-07-20 01:45:46,200.39.25.68,MS-DS Attack,1
2018-07-20 05:30:05,2018-07-20 05:30:05,88.227.146.237,Proxy Scan,1
2018-07-20 03:27:17,2018-07-20 03:27:17,196.221.34.136,MS-DS Attack,1
2018-07-20 05:15:21,2018-07-20 05:15:21,83.223.227.253,Unclassified,1
2018-07-20 02:34:49,2018-07-20 02:34:49,196.127.151.170,MS-DS Attack,1
2018-07-20 03:22:34,2018-07-20 03:22:34,156.208.155.223,MS-DS Attack,1
2018-07-20 04:14:53,2018-07-20 04:14:53,195.246.57.116,MS-DS Attack,1
2018-07-20 05:19:29,2018-07-20 05:19:29,79.7.85.5,Telnet,1
2018-07-20 02:43:59,2018-07-20 02:43:59,191.97.36.184,Telnet,1
2018-07-20 04:23:11,2018-07-20 04:23:11,191.35.253.249,MS-DS Attack,1
2018-07-20 05:16:54,2018-07-20 05:16:54,191.34.170.177,MS-DS Attack,1
2018-07-20 00:45:52,2018-07-20 00:45:52,191.103.204.35,MS-DS Attack,1
2018-07-20 01:40:36,2018-07-20 01:40:36,190.79.142.14,MS-DS Attack,1
2018-07-20 02:27:11,2018-07-20 02:27:11,190.79.14.202,MS-DS Attack,1
2018-07-20 04:16:43,2018-07-20 04:16:43,190.78.87.122,MS-DS Attack,1
2018-07-20 02:52:55,2018-07-20 02:52:55,190.78.81.182,MS-DS Attack,1
2018-07-20 01:03:28,2018-07-20 01:03:28,190.78.4.156,MS-DS Attack,1
2018-07-20 05:52:57,2018-07-20 05:52:57,190.78.11.8,MS-DS Attack,1
2018-07-20 01:18:48,2018-07-20 01:18:48,190.77.67.224,MS-DS Attack,1
2018-07-20 02:23:36,2018-07-20 02:23:36,190.77.60.149,MS-DS Attack,1
2018-07-20 01:21:07,2018-07-20 01:21:07,190.77.106.69,MS-DS Attack,1
2018-07-20 01:17:35,2018-07-20 01:17:35,190.75.212.200,MS-DS Attack,1
2018-07-20 03:57:30,2018-07-20 03:57:30,190.75.127.130,MS-DS Attack,1
2018-07-20 01:02:37,2018-07-20 01:02:37,190.75.115.243,MS-DS Attack,1
2018-07-20 01:20:55,2018-07-20 01:20:55,190.74.203.33,MS-DS Attack,1
2018-07-20 05:30:52,2018-07-20 05:30:52,143.255.155.184,SSH Brute Force,1
2018-07-20 04:25:47,2018-07-20 04:25:47,190.39.9.123,MS-DS Attack,1
2018-07-20 02:11:00,2018-07-20 02:11:00,190.39.50.142,MS-DS Attack,1
